year,release,link,filteredParagraphs,netToneScore0,netToneScore1,netToneScore2,netToneScore3,netToneScore4,netToneScore5,netToneScore6,netToneScore7,uncertScore0,uncertScore1,uncertScore2,uncertScore3,uncertScore4,uncertScore5,uncertScore6,uncertScore7
1998,1998-04-02,https://www.federalreserve.gov/fomc/minutes/19980203.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-05-21,https://www.federalreserve.gov/fomc/minutes/19980331.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-07-02,https://www.federalreserve.gov/fomc/minutes/19980519.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-08-20,https://www.federalreserve.gov/fomc/minutes/19980630.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-10-01,https://www.federalreserve.gov/fomc/minutes/19980818.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-11-19,https://www.federalreserve.gov/fomc/minutes/19980929.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1998-12-23,https://www.federalreserve.gov/fomc/minutes/19981117.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1999-02-04,https://www.federalreserve.gov/fomc/minutes/19981222.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-03-27,https://www.federalreserve.gov/fomc/minutes/19970204.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-05-22,https://www.federalreserve.gov/fomc/minutes/19970325.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-07-03,https://www.federalreserve.gov/fomc/minutes/19970520.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-08-21,https://www.federalreserve.gov/fomc/minutes/19970701.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-10-02,https://www.federalreserve.gov/fomc/minutes/19970819.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-11-13,https://www.federalreserve.gov/fomc/minutes/19970930.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1997-12-18,https://www.federalreserve.gov/fomc/minutes/19971112.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1998-02-05,https://www.federalreserve.gov/fomc/minutes/19971216.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-03-29,https://www.federalreserve.gov/fomc/minutes/19960130.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-05-24,https://www.federalreserve.gov/fomc/minutes/19960326.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-07-05,https://www.federalreserve.gov/fomc/minutes/19960521.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-08-23,https://www.federalreserve.gov/fomc/minutes/19960702.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-09-27,https://www.federalreserve.gov/fomc/minutes/19960820.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-11-15,https://www.federalreserve.gov/fomc/minutes/19960924.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-12-20,https://www.federalreserve.gov/fomc/minutes/19961113.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1997-02-06,https://www.federalreserve.gov/fomc/minutes/19961217.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-03-31,https://www.federalreserve.gov/fomc/MINUTES/1995/19950201min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-05-26,https://www.federalreserve.gov/fomc/MINUTES/1995/19950328min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-07-07,https://www.federalreserve.gov/fomc/MINUTES/1995/19950523min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-08-25,https://www.federalreserve.gov/fomc/MINUTES/1995/19950706min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-09-29,https://www.federalreserve.gov/fomc/MINUTES/1995/19950822min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-11-17,https://www.federalreserve.gov/fomc/MINUTES/1995/19950926min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1995-12-22,https://www.federalreserve.gov/fomc/MINUTES/1995/19951115min.htm,"[['ongoing', 'effort', 'business', 'firm', 'bring', 'inventory', 'well', 'alignment', 'sale', 'result', 'decline', 'inventory', 'investment', 'year', 'inventory', 'adjustment', 'stock', 'motor', 'vehicle', 'expect', 'come', 'month', 'pace', 'marked', 'retarding', 'effect', 'economic', 'activity', 'inventory', 'investment', 'project', 'neutral', 'factor', 'economy', 'accumulation', 'proceed', 'pace', 'line', 'growth', 'final', 'sale', 'risk', 'unexpected', 'development', 'sector', 'economy', 'substantial', 'well_alignment', 'motor_vehicle', 'come_month', 'economic_activity']]",0,-0.0026224027661716238,0,-0.0144881571040434,0,0,-0.021847203666088628,0,0,0.0026224027661716238,0,0.0144881571040434,0,0,0.021847203666088628,0
1995,1996-02-02,https://www.federalreserve.gov/fomc/MINUTES/1995/19951219min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
