
="";="V";="V";="V";="V";="V"

="dl_nettone";="-0.133*";="";="";="";=""
="";="(-2.07)";="";="";="";=""

="dl_pos";="";="-0.431***";="";="";=""
="";="";="(-3.48)";="";="";=""

="dl_neg";="";="";="0.044";="";=""
="";="";="";="(0.86)";="";=""

="dl_uncert";="";="";="";="-0.179*";=""
="";="";="";="";="(-2.12)";=""

="dissent";="";="";="";="";="-0.025"
="";="";="";="";="";="(-0.23)"

="N";="225";="225";="225";="225";="225"
="adj. R-sq";="0.032";="0.080";="-0.001";="0.008";="-0.004"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
